brand,model,desc,base,shape,price,p,lm_prc,lm,eff,eq,color,cri,angle,flicker,rating,war,hash_id,color_from_desc,lm_from_desc,w_from_desc
iSvet,USL-104-5-6,6500K 5600lm 70W,no,Flood,2218.0,66.0,,,0,,6782.0,83,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-0,6500.0,5600.0,70.0
Volpe,ULF-Q516 50W/6500K IP65 220-240B GREY,6500K 4000lm 50W,no,Flood,825.0,33.4,44.0,1769.0,53,150.0,6647.0,84,,100.0,0.3,12.0,b7bb2bfe207e1aac735a2b223b1e9e3d-1,6500.0,4000.0,50.0
Volpe,ULF-Q516 30W/6500K IP65 220-240B GREY,6500K 2400lm 30W,no,Flood,560.0,20.3,48.0,1163.0,57,100.0,6507.0,84,,100.0,0.3,12.0,b7bb2bfe207e1aac735a2b223b1e9e3d-2,6500.0,2400.0,30.0
Volpe,ULF-Q516 10W/6500K IP65 220-240B GREY,6500K 800lm 10W,no,Flood,280.0,7.4,65.0,518.0,70,55.0,6150.0,83,,100.0,0.4,12.0,b7bb2bfe207e1aac735a2b223b1e9e3d-3,6500.0,800.0,10.0
Noname,DVOLADOR Dimmable LED COB Downlight,3200K 770lm 7W D,no,Lamp,816.0,5.1,38.0,294.0,58,35.0,3137.0,92,,0.0,4.2,,b7bb2bfe207e1aac735a2b223b1e9e3d-4,3200.0,770.0,7.0
IKEA,Solhetta 305.104.15 LED2010R3K4,4000K 345lm 3W,GU10,Spot,133.0,3.1,124.0,427.0,137,50.0,3836.0,94,,0.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-5,4000.0,345.0,3.0
IKEA,Solhetta 305.104.15 LED2010R3K4,4000K 345lm 3W,GU10,Spot,133.0,3.1,125.0,430.0,137,50.0,3931.0,93,,0.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-6,4000.0,345.0,3.0
IKEA,Solhetta 305.104.15 LED2010R3K4,4000K 345lm 3W,GU10,Spot,133.0,3.1,123.0,423.0,136,50.0,4013.0,92,,0.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-7,4000.0,345.0,3.0
IKEA,Solhetta 404.987.62 LED2017С2,2700K 250lm 1.8W F,E14,Candle,199.0,1.9,108.0,270.0,145,30.0,2737.0,92,,0.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-8,2700.0,250.0,8.0
IKEA,Solhetta 804.987.36 LED2020С3,2700K 470lm 3.4W M,E14,Candle,150.0,3.3,107.0,503.0,152,55.0,2727.0,93,,1.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-9,2700.0,470.0,4.0
IKEA,Solhetta 804.987.36 LED2020С3,2700K 470lm 3.4W M,E14,Candle,150.0,3.3,105.0,495.0,150,55.0,2703.0,94,,1.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-10,2700.0,470.0,4.0
IKEA,Solhetta 704.987.08 LED2021G3,2700K 470lm 3.4W M,E14,G45,150.0,3.3,102.0,478.0,144,55.0,2694.0,94,,1.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-11,2700.0,470.0,4.0
IKEA,Solhetta 704.987.08 LED2021G3,2700K 470lm 3.4W M,E14,G45,150.0,3.3,103.0,484.0,148,55.0,2731.0,94,,1.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-12,2700.0,470.0,4.0
IKEA,Solhetta 005.186.44 LED2023G2,2700K 250lm 1.8W M,E27,G45,125.0,1.9,113.0,283.0,150,35.0,2725.0,93,,1.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-13,2700.0,250.0,8.0
IKEA,Solhetta 005.186.44 LED2023G2,2700K 250lm 1.8W M,E27,G45,125.0,1.9,114.0,284.0,150,35.0,2737.0,93,,1.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-14,2700.0,250.0,8.0
IKEA,Solhetta 604.985.77 LED2015G3,2700K 470lm 3.4W M,E27,Bulb,45.0,3.4,107.0,504.0,150,55.0,2702.0,84,,1.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-15,2700.0,470.0,4.0
IKEA,Solhetta 604.985.77 LED2015G3,2700K 470lm 3.4W M,E27,Bulb,45.0,3.4,109.0,512.0,150,55.0,2702.0,84,,1.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-16,2700.0,470.0,4.0
IKEA,Solhetta 005.099.94 LED2014G10,2700K 1521lm 9.5W M D,E27,Bulb,599.0,9.5,100.0,1526.0,160,135.0,2724.0,92,,2.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-17,2700.0,1521.0,5.0
IKEA,Solhetta 804.986.61 LED2018G3,2700K 470lm 2.9W F,E27,Bulb,299.0,2.9,100.0,470.0,164,50.0,2740.0,92,,1.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-18,2700.0,470.0,9.0
IKEA,Solhetta 604.986.95 LED2013G8,2700K 1055lm 7.8W M D,E27,Globe,399.0,7.9,105.0,1104.0,139,95.0,2720.0,92,,0.0,5.0,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-19,2700.0,1055.0,8.0
Navigator,NLL-MR16-5-230-4K-GU5.3,4000K 400lm 5W M,GU5.3,Spot,164.0,3.7,70.0,281.0,76,35.0,3991.0,84,,1.0,3.9,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-20,4000.0,400.0,5.0
Navigator,NLL-MR16-3-230-4K-GU5.3,4000K 240lm 3W M,GU5.3,Spot,148.0,2.9,104.0,250.0,87,30.0,3886.0,83,,1.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-21,4000.0,240.0,3.0
Osram,AC31808 LVMR1660 7SW/840 230V GU5.3 10X1 RUOSRAM,4000K 560lm 7W M,GU5.3,Spot,123.0,7.1,121.0,680.0,96,70.0,3814.0,82,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-22,4000.0,560.0,7.0
iSvet,USL-104-8-6,6500K 16000lm 200W,no,Flood,7712.0,181.7,,,0,,6307.0,86,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-23,6500.0,16000.0,200.0
iSvet,USL-104-7-6,6500K 12000lm 150W,no,Flood,6115.0,141.2,,,0,,6167.0,84,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-24,6500.0,12000.0,150.0
iSvet,USL-104-6-6,6500K 8000lm 100W,no,Flood,3004.0,92.2,,,0,,6172.0,84,,0.0,4.5,24.0,b7bb2bfe207e1aac735a2b223b1e9e3d-25,6500.0,8000.0,100.0
